,Life
0.00429,29249.304826188218
0.00587,12932.324387062012
0.023370000000000002,710.5653725980134
0.01318,2167.2695417231403
0.00392,37749.99496941216
0.00315,73651.47070513137
0.01693,1317.5400775169314
0.009300000000000001,4493.384343983319
0.00827,5813.521919435912
0.00445,26448.37853665067
0.020149999999999998,941.2347236482545
0.00496,19803.11401723262
0.00428,29439.169130884726
0.01838,1123.1543733496972
0.0152,1628.7327178001965
0.01778,1197.7084392024599
0.01587,1495.6676681201352
0.01502,1667.679468788033
0.00484,21116.354126432587
0.00363,47334.16307124152
0.0047,22824.386967439677
0.00364,46945.298716450365
0.01132,2961.4613434937355
0.01497,1678.759041488629
0.00263,136644.13133273018
0.01456,1774.1629824133986
0.011380000000000001,2929.0885995722606
0.016100000000000003,1453.9103699325258
0.00379,41645.932386472996
0.01207,2593.504934751955
0.0037400000000000003,43307.59222901578
0.01681,1335.9776067837136
0.00352,51951.31557478044
0.01329,2131.1089000493994
0.01607,1459.2519329975655
0.004730000000000001,22441.019804365038
0.01625,1427.6597270352327
0.00414,32306.54037250156
0.0055,15201.314752612036
0.01526,1616.0685361814878
0.01343,2086.4426038911784
0.00927,4524.938218330595
0.00613,11635.561127543235
0.01575,1518.2105584501114
0.010039999999999999,3812.219548165133
0.010199999999999999,3686.1857567984666
0.009960000000000002,3877.786653397362
0.008660000000000001,5249.972018065166
0.0146,1764.4834059777002
0.00657,9855.892295968915
0.00642,10412.22053406341
0.01333,2118.1946070980794
0.011640000000000001,2795.0280019418433
0.0035099999999999997,52404.258075896374
0.016530000000000003,1380.617876402104
0.01874,1081.8803497910699
0.00333,61684.1038120233
0.0035600000000000002,50197.05414264122
0.01065,3364.6972522115257
0.01069,3338.2638053925084
0.00462,23897.05038811108
0.00477,21944.982187703867
0.00447,26127.192776485663
0.03214,393.511618650014
0.0165,1385.5401689283983
0.00284,104137.68840140027
0.0211,862.0824299488181
0.013880000000000002,1952.4233982354256
0.018760000000000002,1079.6579245458738
0.012920000000000001,2256.682918562917
0.018260000000000002,1137.467717360949
0.0169,1322.111616400172
0.00336,59974.558855923715
0.01209,2584.692051981051
0.00387,39180.5784587515
0.015550000000000001,1556.992754621074
0.012539999999999999,2398.2089303238818
0.00435,28148.259503010166
0.02117,856.6700365825399
0.02007,948.4215862691092
0.0174,1249.0579720064748
0.016399999999999998,1402.149551092843
0.00501,19292.55845837398
0.0030800000000000003,79254.90715697031
0.01139,2923.7471836786376
0.00257,148665.78287965732
0.00342,56761.37082837118
0.009210000000000001,4589.09497565537
0.00294,92535.42095130372
0.01106,3108.4526721354237
0.00367,45807.11154185114
0.00457,24607.054874544745
0.0092,4599.926017485816
0.03639,313.84121757694106
0.03571,324.77021737612984
0.03436,348.34480224628146
0.01772,1205.5921469932575
0.00662,9680.637975578114
0.0064,10490.06029989488
0.01218,2545.610638877979
0.012050000000000002,2602.365145171286
0.01239,2457.9522245342628
0.012240000000000001,2520.0699240469194
0.01208,2589.092598981516
0.0172,1277.4956311325586
0.0048200000000000005,21348.154405269426
0.00438,27621.22534462133
0.012119999999999999,2571.560718044038
0.011710000000000002,2760.577928753325
0.00929,4503.863959476515
0.01199,2629.2332173484733
0.00675,9246.929230468202
0.00318,71428.83849861889
0.00405,34379.840003276404
0.01091,3198.534986483611
0.0036000000000000003,48530.26803084657
0.00311,76778.48085828808
0.00443,26775.619159396123
0.00466,23351.314106478254
0.01145,2892.0175132445406
0.0096,4195.900837858572
0.0032400000000000003,67272.99380397695
0.01507,1656.7147784828578
0.01657,1374.097645878591
0.01193,2656.539887501776
0.0038,41325.15285565632
0.01284,2285.366502827729
0.01592,1486.430335355347
0.024390000000000002,655.7910996379563
0.01803,1165.7204976723513
0.01418,1870.451696971533
0.02208,790.9353810693353
0.01586,1497.5260049384676
0.019280000000000002,1024.3154447488575
0.01094,3180.193459478108
0.00408,33666.865713619794
0.00951,4281.8309661115145
0.01332,2121.4116087502257
0.00354,51062.87820781058
0.00404,34622.58956642319
0.01102,3132.081602224468
0.00553,14995.282115967035
0.00526,17018.807641906784
0.01306,2207.8311308266534
0.01759,1222.9574782967477
0.02134,843.7473694410255
0.015090000000000001,1652.3607063497775
0.00597,12408.32479788331
0.0058200000000000005,13207.238196865846
0.00655,9927.37379052377
0.00614,11589.749607698319
0.01544,1578.9935938857313
0.014320000000000001,1834.0392021439552
0.012220000000000002,2528.538540366616
0.01235,2474.2795613416324
0.013810000000000001,1972.3654466840705
0.01411,1889.0870052503892
0.01936,1016.2000393978186
0.0030499999999999998,81851.70462241693
0.01716,1283.3059131295336
0.00796,6331.917829983871
0.02122,852.836900045708
0.014750000000000001,1728.9163089072313
0.00391,38029.72571806679
0.00785,6533.346475820423
0.0040999999999999995,33203.92644505059
0.007200000000000001,7956.737188900307
0.01299,2232.046703959889
0.010480000000000001,3480.787060091747
0.00876,5119.165772863499
0.013970000000000002,1927.2466974728766
0.01878,1077.4427096062795
0.01382,1969.4969869942809
0.01129,2977.8588941774797
0.013640000000000001,2022.1540475148074
0.005070000000000001,18706.072915917506
0.01959,993.4262019301225
0.013900000000000001,1946.7839728763227
0.0127,2336.9628864428237
0.02094,874.658845844113
0.016579999999999998,1372.4751839549583
0.01426,1849.5065617388677
0.012060000000000001,2597.9291023284545
0.01077,3286.364401351975
0.01829,1133.862458251287
0.00393,37473.36365795753
0.019289999999999998,1023.2954233785908
0.01898,1055.6801939170007
0.01611,1452.1367048694476
0.01833,1129.0834721736921
0.00453,25198.505358317776
0.010140000000000001,3732.6727427617807
0.01173,2750.8574923157735
0.00771,6804.497476122594
0.02422,664.4458754543549
0.00375,42967.356822076035
0.00419,31235.61340090085
0.02048,912.4806521455591
0.0181,1157.0054401373784
